branchrule,cpu_process_time,difficulty_score,dualbound,error_message,file,gap,nlps,nnodes,nsols,obj,path,profile_class,solving_time,status,wall_time
BaselinePseudoCostBranchrule,0.03127414399999395,5.157390346664827,193.0,,test_200r_6400c_0.05d_instance_494.mps,0.0,27,1,27,193.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_6400c_0.05d_instance_494.mps,easy,0.031251,optimal,0.03128170967102051
BaselinePseudoCostBranchrule,0.07133711599999515,12.429436586266949,20.0,,test_200r_6400c_0.25d_instance_166.mps,0.0,58,25,52,20.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_6400c_0.25d_instance_166.mps,medium,0.071314,optimal,0.07134771347045898
BaselinePseudoCostBranchrule,0.14199379499999054,16.50425093731567,18.0,,test_200r_6400c_0.25d_instance_395.mps,0.0,135,87,100,18.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_6400c_0.25d_instance_395.mps,medium,0.14196599999999998,optimal,0.14200448989868164
BaselinePseudoCostBranchrule,0.021240281000004302,6.093682170909437,1730.0,,test_200r_800c_0.05d_instance_200.mps,0.0,12,3,17,1730.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.05d_instance_200.mps,easy,0.021221,optimal,0.02124309539794922
BaselinePseudoCostBranchrule,0.07708970599999532,14.862963622331483,1766.0,,test_200r_800c_0.05d_instance_219.mps,0.0,92,56,83,1766.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.05d_instance_219.mps,medium,0.077071,optimal,0.07710027694702148
BaselinePseudoCostBranchrule,0.04301721000000214,13.247939995568874,1493.0,,test_200r_800c_0.05d_instance_256.mps,0.0,59,36,49,1493.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.05d_instance_256.mps,medium,0.042998999999999996,optimal,0.043022871017456055
BaselinePseudoCostBranchrule,0.054871421999990844,11.768897640180718,1934.0,,test_200r_800c_0.05d_instance_36.mps,0.0,38,23,36,1934.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.05d_instance_36.mps,medium,0.054852,optimal,0.054877519607543945
BaselinePseudoCostBranchrule,0.021711915999986786,4.5698339668249774,110.0,,test_200r_800c_0.25d_instance_369.mps,0.0,15,1,16,110.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.25d_instance_369.mps,easy,0.021691,optimal,0.021714448928833008
BaselinePseudoCostBranchrule,0.06332853600000021,12.6383944042996,102.0,,test_200r_800c_0.25d_instance_46.mps,0.0,51,29,45,102.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_800c_0.25d_instance_46.mps,medium,0.06330899999999999,optimal,0.0633401870727539
BaselinePseudoCostBranchrule,0.007554323999997337,2.448535393027992,13435.0,,test_400r_1600c_0.01d_instance_175.mps,0.0,1,1,3,13435.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_1600c_0.01d_instance_175.mps,too_easy,0.007535,optimal,0.007552146911621094
BaselinePseudoCostBranchrule,0.1573729400000019,17.41833100668089,12801.0,,test_400r_1600c_0.01d_instance_54.mps,0.0,146,120,100,12801.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_1600c_0.01d_instance_54.mps,hard,0.157359,optimal,0.1573963165283203
BaselinePseudoCostBranchrule,3.5749501949999996,31.184192005165357,1527.0,,test_400r_1600c_0.05d_instance_185.mps,0.0,2205,1937,100,1527.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_1600c_0.05d_instance_185.mps,hard,3.5748569999999997,optimal,3.574911594390869
BaselinePseudoCostBranchrule,0.4603520120000013,19.653695688595434,1172.0,,test_400r_1600c_0.05d_instance_293.mps,0.0,283,171,100,1172.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_1600c_0.05d_instance_293.mps,hard,0.460329,optimal,0.46036767959594727
BaselinePseudoCostBranchrule,2.6232878800000066,29.56304147781785,1236.0,,test_400r_1600c_0.05d_instance_394.mps,0.0,1736,1474,100,1236.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_1600c_0.05d_instance_394.mps,hard,2.6232249999999997,optimal,2.623262882232666
BaselinePseudoCostBranchrule,0.0064566400000103386,2.445264244942157,5051.0,,test_400r_3200c_0.01d_instance_462.mps,0.0,1,1,3,5051.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.01d_instance_462.mps,too_easy,0.006437,optimal,0.006453275680541992
BaselinePseudoCostBranchrule,0.12733515100001114,8.925399814328944,43.0,,test_400r_3200c_0.25d_instance_102.mps,0.0,28,7,27,43.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.25d_instance_102.mps,medium,0.127309,optimal,0.1273505687713623
BaselinePseudoCostBranchrule,0.5094246100000106,16.362946130508448,64.0,,test_400r_3200c_0.25d_instance_238.mps,0.0,144,57,100,64.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.25d_instance_238.mps,medium,0.509384,optimal,0.509425163269043
BaselinePseudoCostBranchrule,0.2995828390000099,15.916051385071114,51.0,,test_400r_3200c_0.25d_instance_392.mps,0.0,122,61,100,51.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.25d_instance_392.mps,medium,0.29954,optimal,0.29956889152526855
BaselinePseudoCostBranchrule,0.247053128999994,14.629427341804377,55.0,,test_400r_3200c_0.25d_instance_417.mps,0.0,114,39,95,55.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.25d_instance_417.mps,medium,0.247031,optimal,0.2470707893371582
BaselinePseudoCostBranchrule,0.297765634000001,16.386192637227204,46.0,,test_400r_3200c_0.25d_instance_456.mps,0.0,126,73,100,46.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_3200c_0.25d_instance_456.mps,medium,0.29772699999999996,optimal,0.29776573181152344
BaselinePseudoCostBranchrule,0.01222831799999824,3.715168495189826,40607.0,,test_400r_400c_0.01d_instance_110.mps,0.0,6,1,13,40607.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.01d_instance_110.mps,easy,0.012204,optimal,0.01222538948059082
BaselinePseudoCostBranchrule,0.0034253230000018675,2.4362277293604957,44985.0,,test_400r_400c_0.01d_instance_343.mps,0.0,1,1,3,44985.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.01d_instance_343.mps,too_easy,0.00341,optimal,0.0034248828887939453
BaselinePseudoCostBranchrule,0.33801692900000546,19.003218994392206,5119.0,,test_400r_400c_0.05d_instance_343.mps,0.0,253,153,100,5119.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.05d_instance_343.mps,hard,0.337989,optimal,0.3380255699157715
BaselinePseudoCostBranchrule,0.12120885699999917,11.982771569426557,266.0,,test_400r_400c_0.25d_instance_181.mps,0.0,49,21,40,266.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.25d_instance_181.mps,medium,0.121179,optimal,0.1212158203125
BaselinePseudoCostBranchrule,0.09927261800000053,12.603363334392942,257.0,,test_400r_400c_0.25d_instance_228.mps,0.0,53,27,44,257.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.25d_instance_228.mps,medium,0.099244,optimal,0.09927940368652344
BaselinePseudoCostBranchrule,0.09351661800000954,12.975544451720893,164.0,,test_400r_400c_0.25d_instance_8.mps,0.0,56,31,50,164.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_400c_0.25d_instance_8.mps,medium,0.093501,optimal,0.0935373306274414
BaselinePseudoCostBranchrule,0.003993800000003489,2.4379105173927607,3133.0,,test_400r_6400c_0.01d_instance_123.mps,0.0,1,1,3,3133.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.01d_instance_123.mps,too_easy,0.003973,optimal,0.003989696502685547
BaselinePseudoCostBranchrule,0.02243040700000165,3.878841262913755,3369.0,,test_400r_6400c_0.01d_instance_289.mps,0.0,7,1,10,3369.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.01d_instance_289.mps,easy,0.022425,optimal,0.022443294525146484
BaselinePseudoCostBranchrule,0.2895611639999913,17.899093970634947,285.0,,test_400r_6400c_0.05d_instance_186.mps,0.0,190,115,100,285.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.05d_instance_186.mps,hard,0.289535,optimal,0.28957128524780273
BaselinePseudoCostBranchrule,0.25927759799999706,14.878277689731998,25.0,,test_400r_6400c_0.25d_instance_468.mps,0.0,100,45,88,25.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.25d_instance_468.mps,medium,0.259252,optimal,0.2592911720275879
BaselinePseudoCostBranchrule,1.1099926629999999,23.486936183858216,29.0,,test_400r_6400c_0.25d_instance_470.mps,0.0,540,395,100,29.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.25d_instance_470.mps,hard,1.109942,optimal,1.1099834442138672
BaselinePseudoCostBranchrule,0.19943838300000039,13.296973001399834,18.0,,test_400r_6400c_0.25d_instance_64.mps,0.0,69,29,61,18.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_6400c_0.25d_instance_64.mps,medium,0.199408,optimal,0.1994481086730957
BaselinePseudoCostBranchrule,0.007890087000006929,2.4495208048730075,24105.0,,test_400r_800c_0.01d_instance_222.mps,0.0,1,1,4,24105.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.01d_instance_222.mps,too_easy,0.007866,optimal,0.007885456085205078
BaselinePseudoCostBranchrule,0.010197352999995246,2.45640666987758,27436.0,,test_400r_800c_0.01d_instance_428.mps,0.0,1,1,4,27436.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.01d_instance_428.mps,easy,0.010182,optimal,0.010197162628173828
BaselinePseudoCostBranchrule,0.06652379599999847,7.968399193451926,25431.0,,test_400r_800c_0.01d_instance_87.mps,0.0,26,5,27,25431.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.01d_instance_87.mps,medium,0.066506,optimal,0.06653451919555664
BaselinePseudoCostBranchrule,0.4662690960000049,21.17544879190942,2140.0,,test_400r_800c_0.05d_instance_473.mps,0.0,393,275,100,2140.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.05d_instance_473.mps,hard,0.466236,optimal,0.46627330780029297
BaselinePseudoCostBranchrule,0.6190983299999999,21.424142450998776,217.0,,test_400r_800c_0.25d_instance_129.mps,0.0,361,279,100,217.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.25d_instance_129.mps,hard,0.619053,optimal,0.619091272354126
BaselinePseudoCostBranchrule,0.3016628710000049,17.014293503391322,151.0,,test_400r_800c_0.25d_instance_71.mps,0.0,161,85,100,151.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_400r_800c_0.25d_instance_71.mps,medium,0.30162,optimal,0.30165886878967285
BaselinePseudoCostBranchrule,1.7737608679999965,24.01080771758149,16912.0,,test_800r_1600c_0.01d_instance_461.mps,0.0,492,364,100,16912.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.01d_instance_461.mps,hard,1.773708,optimal,1.7737467288970947
BaselinePseudoCostBranchrule,5.000408706999991,34.65823032039185,1408.0318273903636,,test_800r_1600c_0.05d_instance_107.mps,0.05395344844614438,1199,908,100,1484.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.05d_instance_107.mps,hard_timeout,5.000304,timelimit,5.000344753265381
